Date,Open,High,Low,Close,Adj Close,Volume,neutral-count-finbert,positive-count-finbert,negative-count-finbert,average-confidence-finbert,average-neutral-score-gemini,average-positive-score-gemini,average-negative-score-gemini,prediction-label,ticker,number-employees,date_object
2024-11-08,299.1600037,328.7000122,297.6600037,321.2200012,321.2200012,201778989,3,1,4,0.995374165,6.875,4.375,3.5,1.0,TSLA,140473.0,2024-11-08 00:00:00
2024-11-08,227.1399994,228.6600037,226.4084015,226.9600067,226.9600067,37608324,2,2,4,0.893756397,6.875,5.375,3.5,0.0,AAPL,164000.0,2024-11-08 00:00:00
2024-11-08,2.319999933,2.359999895,2.099999905,2.210000038,2.210000038,102274174,5,1,2,0.912987947,7.125,5.25,2.375,0.0,LCID,6500.0,2024-11-08 00:00:00
2024-11-08,27.11000061,27.14999962,26.71809959,26.71999931,26.71999931,53549746,3,3,2,0.926919505,6.5,5.75,2.5,0.0,PFE,88000.0,2024-11-08 00:00:00
2024-11-08,40.74000168,40.84999847,40.41999817,40.47999954,40.47999954,21278511,1,1,6,0.982125357,8.25,4.125,1.75,0.0,VZ,101200.0,2024-11-08 00:00:00
2024-11-08,148.7700043,149.7599945,146.2599945,147.6300049,147.6300049,173148255,3,1,4,0.905805498,7.125,4.75,2.5,0.0,NVDA,29600.0,2024-11-08 00:00:00
2024-11-08,157.0,157.0800018,155.4100037,155.4700012,155.4700012,8818545,3,0,5,0.951472953,7.375,5.0,1.375,0.0,JNJ,131900.0,2024-11-08 00:00:00
2024-11-08,22.04999924,22.43000031,22.04999924,22.34000015,22.34000015,29866241,2,2,4,0.997335121,7.375,4.125,2.125,1.0,T,143630.0,2024-11-08 00:00:00
2024-11-08,120.9499969,124.2137985,120.9000015,123.5500031,123.5500031,3622769,7,1,0,0.937358066,7.625,6.75,1.75,1.0,RTX,185000.0,2024-11-08 00:00:00
2024-11-08,88.36000061,88.66999817,87.56999969,87.72000122,87.72000122,8134485,4,0,4,0.977421314,7.75,4.125,3.25,0.0,MDT,95000.0,2024-11-08 00:00:00
2024-11-08,180.6450043,180.8999939,178.0800018,178.3500061,178.3500061,21970658,4,1,3,0.871701188,7.125,5.0,3.125,0.0,GOOGL,181269.0,2024-11-08 00:00:00
2024-11-08,87.56999969,88.94000244,87.3239975,88.25,88.25,3737888,3,3,2,0.945948832,7.5,4.25,3.125,1.0,BSX,48000.0,2024-11-08 00:00:00
2024-11-08,591.4899902,593.0999756,584.5499878,589.3400269,589.3400269,9254890,1,1,6,0.882399388,7.5,3.625,3.25,0.0,META,72404.0,2024-11-08 00:00:00
2024-11-09,227.1399994,228.6600037,226.4084015,226.9600067,226.9600067,37608324,1,0,7,0.974606656,6.25,2.375,1.75,0.0,AAPL,164000.0,2024-11-09 00:00:00
2024-11-09,2.319999933,2.359999895,2.099999905,2.210000038,2.210000038,102274174,5,1,2,0.917896777,7.625,4.375,2.875,0.0,LCID,6500.0,2024-11-09 00:00:00
2024-11-09,27.11000061,27.14999962,26.71809959,26.71999931,26.71999931,53549746,2,0,6,0.936197095,6.25,3.125,1.5,0.0,PFE,88000.0,2024-11-09 00:00:00
2024-11-09,40.74000168,40.84999847,40.41999817,40.47999954,40.47999954,21278511,1,1,6,0.975383721,7.75,3.625,1.375,0.0,VZ,101200.0,2024-11-09 00:00:00
2024-11-09,148.7700043,149.7599945,146.2599945,147.6300049,147.6300049,173148255,2,0,6,0.868050024,5.875,3.0,1.625,0.0,NVDA,29600.0,2024-11-09 00:00:00
2024-11-09,157.0,157.0800018,155.4100037,155.4700012,155.4700012,8818545,1,0,7,0.941472799,7.5,4.375,1.25,0.0,JNJ,131900.0,2024-11-09 00:00:00
2024-11-09,22.04999924,22.43000031,22.04999924,22.34000015,22.34000015,29866241,1,2,5,0.993255429,7.5,3.375,2.25,1.0,T,143630.0,2024-11-09 00:00:00
2024-11-09,120.9499969,124.2137985,120.9000015,123.5500031,123.5500031,3622769,6,1,1,0.933277212,6.75,5.75,1.75,1.0,RTX,185000.0,2024-11-09 00:00:00
2024-11-09,88.36000061,88.66999817,87.56999969,87.72000122,87.72000122,8134485,4,0,4,0.966304146,6.75,3.375,2.125,0.0,MDT,95000.0,2024-11-09 00:00:00
2024-11-09,180.6450043,180.8999939,178.0800018,178.3500061,178.3500061,21970658,1,0,7,0.919377312,5.125,2.5,1.875,0.0,GOOGL,181269.0,2024-11-09 00:00:00
2024-11-09,87.56999969,88.94000244,87.3239975,88.25,88.25,3737888,3,3,2,0.831131984,7.75,3.625,3.5,1.0,BSX,48000.0,2024-11-09 00:00:00
2024-11-09,591.4899902,593.0999756,584.5499878,589.3400269,589.3400269,9254890,0,0,8,0.976398498,7.25,3.125,1.75,0.0,META,72404.0,2024-11-09 00:00:00
2024-11-11,225.0549927,225.6999969,221.5,224.2299957,224.2299957,41415717,3,0,5,0.945335798,6.5,6.5,1.375,0.0,AAPL,164000.0,2024-11-11 00:00:00
2024-11-11,2.25999999,2.410000086,2.234999895,2.339999914,2.339999914,102030417,5,2,1,0.920901813,7.5,4.625,3.0,1.0,LCID,6500.0,2024-11-11 00:00:00
2024-11-11,26.71999931,26.82999992,26.21999931,26.23999977,26.23999977,49806544,3,3,2,0.945881791,6.75,4.875,3.0,0.0,PFE,88000.0,2024-11-11 00:00:00
2024-11-11,40.47000122,40.88000107,40.40999985,40.43999863,40.43999863,16526077,3,0,5,0.924885117,7.125,7.25,1.375,0.0,VZ,101200.0,2024-11-11 00:00:00
2024-11-11,148.6799927,148.7700043,143.5700073,145.2599945,145.2599945,179647592,7,1,0,0.989105649,5.875,6.375,1.625,0.0,NVDA,29600.0,2024-11-11 00:00:00
2024-11-11,155.6199951,157.5800018,154.9100037,155.0399933,155.0399933,6868482,3,0,5,0.913906284,7.25,5.875,1.875,0.0,JNJ,131900.0,2024-11-11 00:00:00
2024-11-11,22.28000069,22.47999954,22.24500084,22.30999947,22.30999947,18894910,2,2,4,0.988345839,7.5,4.25,2.25,1.0,T,143630.0,2024-11-11 00:00:00
2024-11-11,124.0749969,125.5400009,124.0199966,124.5599976,124.5599976,3924274,5,1,2,0.910288878,7.875,5.25,2.125,1.0,RTX,185000.0,2024-11-11 00:00:00
2024-11-11,88.20999908,88.80999756,87.75,88.26999664,88.26999664,2892581,5,0,3,0.974596143,7.875,5.5,2.5,1.0,MDT,95000.0,2024-11-11 00:00:00
2024-11-11,178.5800018,180.5449982,178.4700012,180.3500061,180.3500061,16167147,2,1,5,0.929543942,7.375,3.5,2.625,1.0,GOOGL,181269.0,2024-11-11 00:00:00
2024-11-11,88.65000153,88.88999939,88.20999908,88.48000336,88.48000336,3945617,5,2,1,0.86990058,7.625,5.25,3.5,0.0,BSX,48000.0,2024-11-11 00:00:00
2024-11-11,586.7600098,587.0,576.5100708,583.1699829,583.1699829,10046291,2,0,6,0.954252146,7.375,3.75,2.75,0.0,META,72404.0,2024-11-11 00:00:00
2024-11-12,342.5799865722656,345.8399963378906,323.3099975585937,328.6400146484375,328.6400146484375,150160914,1,3,4,0.9592904821038246,6.25,3.0,2.875,0.0,TSLA,140473.0,2024-11-12 00:00:00
2024-11-12,224.6300048828125,225.58999633789065,223.35499572753903,224.22999572753903,224.22999572753903,34988619,2,1,5,0.9937637522816658,7.5,4.75,2.75,0.0,AAPL,164000.0,2024-11-12 00:00:00
2024-11-12,2.309999942779541,2.319999933242798,2.119999885559082,2.140000104904175,2.140000104904175,86642403,4,2,2,0.9646258354187012,7.5,5.5,2.5,0.0,LCID,6500.0,2024-11-12 00:00:00
2024-11-12,26.229999542236328,26.440000534057617,25.950000762939453,26.184999465942383,26.184999465942383,44027852,3,1,4,0.9075953513383864,7.0,3.625,3.5,0.0,PFE,88000.0,2024-11-12 00:00:00
2024-11-12,40.5,40.59999847412109,40.07419967651367,40.380001068115234,40.380001068115234,12422639,5,0,3,0.9666203483939172,7.5,7.125,2.0,0.0,VZ,101200.0,2024-11-12 00:00:00
2024-11-12,146.72000122070312,149.6199951171875,146.00999450683594,148.30999755859375,148.30999755859375,187536686,5,1,2,0.9652786776423454,6.5,7.125,1.25,1.0,NVDA,29600.0,2024-11-12 00:00:00
2024-11-12,154.52999877929688,155.0399932861328,152.3699951171875,152.6699981689453,152.6699981689453,4971777,3,0,5,0.8883423283696175,7.125,5.125,2.25,0.0,JNJ,131900.0,2024-11-12 00:00:00
2024-11-12,22.209999084472656,22.290000915527344,21.790000915527344,22.155000686645508,22.155000686645508,30886900,2,1,5,0.9708496630191804,7.0,4.25,3.0,0.0,T,143630.0,2024-11-12 00:00:00
